date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN,Accuracy,AccuracyIgnoreEqual,improvedPrecision_UP,improvedPrecision_DOWN,improvedRecall_UP,improvedRecall_DOWN,improvedPrecisionIgnoreEqual_UP,improvedPrecisionIgnoreEqual_DOWN,improvedRecallIgnoreEqual_UP,improvedRecallIgnoreEqual_DOWN,improvedAccuracy,improvedAccuracyIgnoerEqual
2016-05-09,0.04251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-11,0.06454,0.36858,0.53787,0.30263,0.27203,0.49145,0.72448,0.68047,0.54406,0.48571,0.71875,0.29999,0.29999,0.48571,0.71875,0.65384,0.56097
2016-05-12,0.07943,0.31469,0.48046,0.35103,0.16803,0.40970,0.60294,0.65236,0.35964,0.40000,0.57758,0.37246,0.13757,0.40000,0.57758,0.65248,0.32682
2016-05-13,-0.00305,0.29235,0.39024,0.30344,0.22857,0.41706,0.64000,0.66165,0.39408,0.34736,0.64705,0.31132,0.22297,0.34736,0.64705,0.64705,0.34736
2016-05-16,0.01899,0.35555,0.31707,0.31893,0.16993,0.51891,0.48148,0.63157,0.36879,0.48387,0.64814,0.35433,0.22727,0.48387,0.64814,0.70312,0.42168
2016-05-17,-0.00022,0.28864,0.39541,0.41778,0.25090,0.41443,0.54980,0.57835,0.38655,0.42028,0.61538,0.45312,0.28000,0.42028,0.61538,0.62365,0.41176
2016-05-18,-0.01587,0.32026,0.48260,0.36981,0.29919,0.39837,0.55778,0.52688,0.42857,0.32608,0.64485,0.35999,0.31944,0.32608,0.64485,0.54216,0.42592
2016-05-19,-0.00284,0.34159,0.43023,0.32274,0.48051,0.47188,0.51211,0.40631,0.57812,0.36781,0.58823,0.29906,0.50000,0.36781,0.58823,0.37869,0.57692
2016-05-20,0.18370,0.48757,0.42222,0.27162,0.10420,0.55281,0.50892,0.74056,0.30978,0.52205,0.58490,0.26691,0.10299,0.52205,0.58490,0.76344,0.32291
2016-05-23,0.01328,0.46052,0.57792,0.27944,0.13819,0.49295,0.63120,0.72916,0.38197,0.41614,0.69892,0.27685,0.15439,0.41614,0.69892,0.70526,0.40880
2016-05-26,-0.00438,0.29175,0.37810,0.26147,0.13944,0.46126,0.54676,0.67525,0.33187,0.42499,0.66666,0.27272,0.19555,0.42499,0.66666,0.69863,0.38938
2016-06-01,0.00018,0.40000,0.42129,0.24230,0.14308,0.46494,0.51704,0.59715,0.38559,0.41666,0.58108,0.22959,0.16044,0.41666,0.58108,0.59210,0.40566
2016-06-02,0.07077,0.35275,0.43781,0.18136,0.14765,0.48017,0.58278,0.63372,0.42718,0.47222,0.61538,0.20987,0.13483,0.47222,0.61538,0.62962,0.45714
2016-06-03,0.05755,0.40293,0.34375,0.31518,0.24522,0.50925,0.42541,0.51401,0.42076,0.45762,0.48936,0.33540,0.27710,0.45762,0.48936,0.52941,0.41818
2016-06-07,0.06185,0.31448,0.40983,0.21549,0.11135,0.47593,0.73529,0.83177,0.33783,0.43055,0.66666,0.18235,0.13559,0.43055,0.66666,0.72093,0.36923
2016-06-08,0.05901,0.45129,0.35664,0.24777,0.08528,0.55823,0.46788,0.70558,0.31677,0.53488,0.54166,0.23958,0.08904,0.53488,0.54166,0.75824,0.30232
2016-06-10,0.02843,0.31956,0.41715,0.29518,0.22668,0.42485,0.51086,0.52127,0.41470,0.44751,0.58208,0.35682,0.25490,0.44751,0.58208,0.59124,0.43820
2016-06-13,0.03491,0.26452,0.45479,0.30275,0.20672,0.36065,0.65354,0.59999,0.41499,0.34285,0.69387,0.34285,0.19710,0.34285,0.69387,0.61538,0.42499
2016-06-14,0.04574,0.37159,0.36155,0.29566,0.27008,0.46472,0.42473,0.47160,0.41798,0.45086,0.55063,0.31836,0.32706,0.45086,0.55063,0.52348,0.47802
2016-06-15,0.05858,0.39529,0.47267,0.29999,0.26212,0.47727,0.57859,0.57142,0.48459,0.42405,0.59285,0.28879,0.26602,0.42405,0.59285,0.54032,0.47701
2016-06-17,0.03900,0.32269,0.52207,0.36916,0.27609,0.40990,0.62812,0.60465,0.43412,0.41711,0.61654,0.39393,0.27891,0.41711,0.61654,0.60465,0.42931
2016-06-20,0.00175,0.34589,0.37671,0.31515,0.17684,0.47852,0.51401,0.59999,0.39285,0.48936,0.53846,0.37297,0.17647,0.48936,0.53846,0.65714,0.36842
2016-06-22,0.03361,0.39735,0.50480,0.33271,0.32863,0.49723,0.61946,0.58252,0.53571,0.48684,0.62318,0.35748,0.31272,0.48684,0.62318,0.58730,0.52439
2016-06-27,0.00543,0.41151,0.49379,0.32491,0.60748,0.46394,0.57555,0.37403,0.66263,0.47619,0.59058,0.32786,0.63544,0.47619,0.59058,0.36496,0.69529
2016-06-28,0.00664,0.40172,0.46464,0.34724,0.39038,0.48846,0.56326,0.52125,0.53076,0.50753,0.61068,0.32268,0.37647,0.50753,0.61068,0.49753,0.62015
2016-06-29,0.03604,0.43292,0.41509,0.32030,0.18181,0.52334,0.50228,0.66149,0.36184,0.49717,0.53153,0.29431,0.20701,0.49717,0.53153,0.62857,0.39864
2016-07-01,-0.00519,0.36486,0.41533,0.31136,0.20833,0.45432,0.48872,0.58153,0.36414,0.46330,0.45762,0.35069,0.18493,0.46330,0.45762,0.61212,0.31578
2016-07-05,0.07038,0.34698,0.40740,0.27615,0.27868,0.41071,0.49602,0.45868,0.44736,0.37837,0.60509,0.31674,0.28189,0.37837,0.60509,0.53030,0.45238
2016-07-06,0.00040,0.36772,0.40000,0.32343,0.29046,0.44545,0.52032,0.52546,0.44036,0.45754,0.54497,0.33680,0.31498,0.45754,0.54497,0.53005,0.47247
2016-07-18,0.00060,0.28000,0.66666,0.28571,0.23404,0.36363,0.70967,0.75675,0.30985,0.43243,0.76923,0.34042,0.17543,0.43243,0.76923,0.84210,0.32258
2016-07-21,0.03933,0.33613,0.41803,0.22641,0.15789,0.44117,0.54255,0.58252,0.40157,0.46956,0.52054,0.25592,0.16101,0.46956,0.52054,0.60674,0.38383
2016-07-22,0.00107,0.33448,0.48484,0.19595,0.14598,0.48743,0.62992,0.67361,0.43956,0.47999,0.61363,0.20454,0.13500,0.47999,0.61363,0.67924,0.40909
2016-07-25,0.00974,0.43939,0.39613,0.18649,0.14462,0.52488,0.48235,0.56862,0.43850,0.51401,0.53333,0.19784,0.17454,0.51401,0.53333,0.56701,0.47999
2016-07-26,0.02460,0.38821,0.41891,0.40801,0.25080,0.50224,0.53633,0.62569,0.41114,0.39673,0.60666,0.36868,0.30847,0.39673,0.60666,0.55303,0.45049
2016-07-27,0.02307,0.37917,0.46130,0.33565,0.24919,0.51193,0.57195,0.62459,0.45722,0.42073,0.62686,0.30396,0.27272,0.42073,0.62686,0.57983,0.46927
2016-07-28,-0.00378,0.30339,0.40259,0.26539,0.22182,0.42517,0.52991,0.53191,0.42320,0.37704,0.53906,0.23232,0.26235,0.37704,0.53906,0.43809,0.47586
2016-08-02,0.03122,0.30542,0.46438,0.25961,0.20843,0.35526,0.58633,0.54000,0.39950,0.36744,0.64285,0.29151,0.23571,0.36744,0.64285,0.58955,0.42127
2016-08-15,0.23465,0.28975,0.40697,0.17446,0.06118,0.42708,0.47945,0.68333,0.24137,0.38750,0.50000,0.18343,0.06756,0.38750,0.50000,0.67391,0.23437
2016-08-16,0.00137,0.31730,0.26666,0.47142,0.18181,0.46478,0.47999,0.71739,0.23999,0.47499,0.52941,0.52777,0.24324,0.47499,0.52941,0.70370,0.29999
2016-08-26,0.07507,0.29605,0.48394,0.35526,0.36952,0.42187,0.60632,0.49632,0.53282,0.45789,0.60633,0.35950,0.42006,0.45789,0.60633,0.50000,0.56540
2016-08-27,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.05992,0.27683,0.43225,0.25388,0.25475,0.37262,0.58515,0.50777,0.44816,0.34000,0.65517,0.23129,0.31666,0.34000,0.65517,0.45945,0.53521
2016-09-02,-0.00179,0.24913,0.41444,0.20281,0.23290,0.37113,0.59890,0.49655,0.47186,0.30379,0.69135,0.18897,0.26794,0.30379,0.69135,0.48979,0.50450
2016-09-12,0.01758,0.45111,0.52093,0.40399,0.40600,0.49343,0.55635,0.51467,0.53528,0.40192,0.63662,0.37425,0.43975,0.40192,0.63662,0.50000,0.54074
2016-09-14,0.01821,0.30120,0.46710,0.34860,0.39499,0.38043,0.55795,0.43750,0.49912,0.39593,0.66528,0.37681,0.47352,0.39593,0.66528,0.49056,0.57499
2016-09-16,-0.00160,0.28898,0.44225,0.34320,0.26475,0.39044,0.62301,0.59401,0.41978,0.42207,0.63247,0.37142,0.29133,0.42207,0.63247,0.60185,0.45398
2016-09-19,-0.00130,0.34280,0.42456,0.43248,0.18361,0.44759,0.54260,0.66775,0.32352,0.43414,0.60483,0.38864,0.25252,0.43414,0.60483,0.64492,0.39267
